Evatec Factor - Release 10.2 - Mini Software Test Plan,,,,,,,,,,,,,
,,,,,,,,Wrap-up: Actuals and analysis/comments,,,,,
Rqmt/CR/Bug ID,Work Item Type,,Timekeeping,Writing Estimate,Testing Estimate,,Comments,,"Azure Writing
Actuals","Azure Testing
Actuals","Timekeeping
Actuals",Comments,
,,Prepare Software Test Plan,Sys-Testing\plan,,7,,,,,,Get from TK,,
,,,,,,,,,,,,,
New Functionality,,,,,,,,,,,,,
[CR ID],CR,CR description,,11.50,35.00,,See 'Change Requests' tab for more details.,,Get From Azure,Get From Azure,,,
,Bugs,Bug description,,,0.50,,See 'Bugs' tab for more details.,,,,,,
,n/a,Ad hoc testing,Sys-Testing\QA Test,,3.00,,See 'Change Requests' tab for more details.,,Get From Azure,Get From Azure,,,
,,,,,,,,,,,,,
,,Total New - Writing,Sys-Testing\write,11.5,,,See 'Change Requests' tab for more details.,,0,,Get from TK,Comment if Azure & TK significantly different,
,,Total New - Testing,Sys-Testing\QA Test,,38.5,,See 'Change Requests' tab for more details.,,,0,Get from TK,Comment if Azure & TK significantly different,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Regression,,,,,,,,,,,,,
,,Total Regression,Sys-Testing\regression,0,4,,Allocating ad hoc verification time for exploratory testing and validation of impacted workflows not explicitly covered by formal test cases.,,Get from Azure,Get from Azure,Get from TK,,
,,,,,,,,,,,,,
General / Other,,,,,,,,,,,,,
,,Consult time with Dev,Sys-Testing \consult,,3,,"Because of new feature, allowing time to consult with Nicola",,,,Get from TK,,
,,"Environment Setup, installing builds",Sys-Testing \setup,,1,,,,,,Get from TK,,
,,Bug verification,Sys-Testing\verify,,10,,See 'Bugs' tab for more details.,,,,Get from TK,,
,,Test case and spec reviews,Sys-Testing\review,,4,,,,,,Get from TK,,
,,Unplanned changes / contingency,Sys-Testing\misc,,1,,,,,,Get from TK,,
,,Total General,,,19,,,,,,0,,
,,,,,,,,,,,,,
,,,Grand Total (estimate),,80,,,Grand Total (actual),0,0,0,,
,,,,,,,,,,,,,
,,Budget:,Hours:,,,,,,,,,,
,,Budget (check TK or ask PM),80,,,,,,,,,,
,,Estimated Effort,80,,,,,,,,,,
,,Difference (hours),0,,,,,,,,,,
,,% Difference to Budget,#DIV/0!,,,,,,,,,,
,,Actual Effort (hours),0,,,,,,,,,,
,,Actual Effort (% Diff to Budget),#DIV/0!,,,,"Assumptions, Areas Not Tested, Other supporting information:",,,,,,
,,,,,,,"Include in this section any assumptions, areas you will not be testing (but feel you should be) and any other information that will help explain your stategy, risks, etc. ",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
